20, 2.688, 0, 6, 53.69
44, 5.514, 0, 7, 56.51
9, 1.594, 0, 5, 102.59
23, 3.178, 0, 7, 104.18
20, 2.966, 0, 6, 153.97
23, 2.970, 0, 6, 203.97
27, 3.564, 0, 7, 204.56
1, 0.426, 0, 0, 351.43
4, 0.732, 0, 1, 351.73
49, 7.212, 0, 8, 358.21
8, 1.636, 0, 6, 402.64
12, 2.212, 0, 7, 403.21
36, 4.682, 0, 6, 455.68
46, 7.714, 0, 9, 558.71
11, 2.174, 0, 6, 603.17
48, 5.904, 0, 7, 656.90
16, 2.442, 0, 6, 803.44
33, 4.206, 0, 8, 805.21
22, 3.634, 0, 6, 854.63
5, 1.046, 0, 3, 902.05
43, 5.874, 0, 8, 956.87
8, 1.558, 0, 5, 1002.56
1, 0.410, 0, 0, 1051.41
6, 1.112, 0, 3, 1052.11
32, 3.654, 0, 6, 1104.65
2, 0.652, 0, 0, 1151.65
41, 4.936, 0, 7, 1155.94
38, 4.966, 0, 6, 1305.97
31, 4.538, 0, 7, 1355.54
10, 1.900, 0, 6, 1452.90
32, 4.514, 0, 7, 1505.51
19, 2.704, 0, 5, 1603.70
33, 4.684, 0, 6, 1605.68
24, 3.482, 0, 6, 1654.48
28, 4.358, 0, 8, 1805.36
5, 1.108, 0, 3, 1902.11
11, 1.558, 0, 5, 1902.56
14, 1.864, 0, 5, 1902.86
25, 3.034, 0, 6, 1904.03
40, 4.932, 0, 6, 2005.93
16, 2.506, 0, 7, 2053.51
33, 4.972, 0, 7, 2055.97
47, 5.964, 0, 7, 2306.96
29, 4.510, 0, 8, 2355.51
41, 6.184, 0, 7, 2357.18
23, 2.948, 0, 5, 2403.95
12, 1.890, 0, 6, 2452.89
19, 3.568, 0, 8, 2504.57
38, 5.714, 0, 8, 2556.71
15, 2.226, 0, 6, 2603.23
46, 5.340, 0, 7, 2606.34
21, 3.310, 0, 6, 2654.31
28, 3.616, 0, 6, 2654.62
40, 5.024, 0, 7, 2706.02
29, 4.308, 0, 8, 2755.31
42, 5.586, 0, 7, 2756.59
18, 2.566, 0, 6, 2803.57
34, 4.968, 0, 6, 2905.97
3, 0.764, 0, 1, 3001.76
17, 3.072, 0, 7, 3054.07
37, 5.016, 0, 8, 3056.02
40, 5.628, 0, 8, 3056.63
